player,gameweek,away_team,home_team,results_home_goals,results_away_goals,predictions_home_goals,predictions_away_goals
paul merson,1,leicester,arsenal,4,3,2,1
paul merson,1,man city,brighton,0,2,0,4
paul merson,1,burnley,chelsea,2,3,3,1
paul merson,1,huddersfield,crystal palace,0,3,3,1
paul merson,1,stoke,everton,1,0,2,0
paul merson,1,west ham,man utd,4,0,2,0
paul merson,1,tottenham,newcastle,0,2,0,3
paul merson,1,swansea,southampton,0,0,1,1
paul merson,1,liverpool,watford,3,3,0,3
paul merson,1,bournemouth,west brom,1,0,2,1
paul merson,2,watford,bournemouth,0,2,3,1
paul merson,2,west brom,burnley,0,1,2,1
paul merson,2,newcastle,huddersfield,1,0,1,1
paul merson,2,brighton,leicester,2,0,3,0
paul merson,2,crystal palace,liverpool,1,0,3,1
paul merson,2,everton,man city,1,1,3,0
paul merson,2,arsenal,stoke,1,0,1,3
paul merson,2,man utd,swansea,0,4,0,2
paul merson,2,chelsea,tottenham,1,2,1,1
paul merson,2,west ham,southampton,3,2,1,0
paul merson,3,man city,bournemouth,1,2,0,3
paul merson,3,everton,chelsea,2,0,2,1
paul merson,3,swansea,crystal palace,0,2,1,0
paul merson,3,southampton,huddersfield,0,0,1,2
paul merson,3,arsenal,liverpool,4,0,3,1
paul merson,3,leicester,man utd,2,0,2,1
paul merson,3,west ham,newcastle,3,0,0,2
paul merson,3,burnley,tottenham,1,1,3,0
paul merson,3,brighton,watford,0,0,2,0
paul merson,3,stoke,west brom,1,1,1,0
paul merson,4,bournemouth,arsenal,3,0,2,1
paul merson,4,west brom,brighton,3,1,0,1
paul merson,4,crystal palace,burnley,1,0,2,0
paul merson,4,tottenham,everton,0,3,1,1
paul merson,4,chelsea,leicester,1,2,1,2
paul merson,4,liverpool,man city,5,0,3,2
paul merson,4,watford,southampton,0,2,1,0
paul merson,4,man utd,stoke,2,2,1,2
paul merson,4,newcastle,swansea,0,1,2,0
paul merson,4,huddersfield,west ham,2,0,2,1
paul merson,5,brighton,bournemouth,2,1,2,1
paul merson,5,arsenal,chelsea,0,0,3,0
paul merson,5,southampton,crystal palace,0,1,1,1
paul merson,5,leicester,huddersfield,1,1,1,2
paul merson,5,burnley,liverpool,1,1,2,0
paul merson,5,everton,man utd,4,0,3,0
paul merson,5,stoke,newcastle,2,1,1,1
paul merson,5,swansea,tottenham,0,0,3,0
paul merson,5,man city,watford,0,6,0,3
paul merson,5,west ham,west brom,0,0,1,0
paul merson,6,west brom,arsenal,2,0,2,0
paul merson,6,newcastle,brighton,1,0,1,1
paul merson,6,huddersfield,burnley,0,0,2,0
paul merson,6,bournemouth,everton,2,1,2,0
paul merson,6,liverpool,leicester,2,3,1,2
paul merson,6,crystal palace,man city,5,0,4,0
paul merson,6,man utd,southampton,0,1,0,2
paul merson,6,chelsea,stoke,0,4,1,3
paul merson,6,watford,swansea,1,2,1,1
paul merson,6,tottenham,west ham,2,3,1,3
paul merson,7,leicester,bournemouth,0,0,2,1
paul merson,7,brighton,arsenal,2,0,3,0
paul merson,7,man city,chelsea,0,1,1,1
paul merson,7,burnley,everton,0,1,2,0
paul merson,7,tottenham,huddersfield,0,4,0,3
paul merson,7,crystal palace,man utd,4,0,4,0
paul merson,7,liverpool,newcastle,1,1,1,3
paul merson,7,southampton,stoke,2,1,1,0
